PLATE,SOURCE,TIME
KA02MP9657,car.jpg,2026-05-17 18:54:56
KA02MP9657,car.jpg,2026-05-17 19:00:07
TH875106,webcam,2026-05-19 22:27:20
TH875406,webcam,2026-05-19 22:27:20
TN8705106,webcam,2026-05-19 22:27:21
TN8705406,webcam,2026-05-19 22:27:21
TH8705406,webcam,2026-05-19 22:27:21
TH8705106,webcam,2026-05-19 22:27:23
TH8705106,webcam,2026-05-19 22:27:24
NDTN8705106,webcam,2026-05-19 22:27:24
TM8705106,webcam,2026-05-19 22:27:24
TH8705106,webcam,2026-05-19 22:27:24
TH8705106,webcam,2026-05-19 22:27:25
TH8705406,webcam,2026-05-19 22:27:25
TN8705406,webcam,2026-05-19 22:27:25
TN875106,webcam,2026-05-19 22:27:25
TN8705406,webcam,2026-05-19 22:27:26
TM8705406,webcam,2026-05-19 22:27:26
TN8705406,webcam,2026-05-19 22:27:26
TN8705106,webcam,2026-05-19 22:27:26
TN8705106,webcam,2026-05-19 22:27:26
TN8705406,webcam,2026-05-19 22:27:27
TN8705106,webcam,2026-05-19 22:27:27
TK875106,webcam,2026-05-19 22:27:27
TM8705406,webcam,2026-05-19 22:27:28
NDTN8705106,webcam,2026-05-19 22:27:28
T88705106,webcam,2026-05-19 22:27:28
TM8705106,webcam,2026-05-19 22:27:28
TH8705106,webcam,2026-05-19 22:27:28
NDTN8705106,webcam,2026-05-19 22:27:29
TN875106,webcam,2026-05-19 22:27:29
TN8705106,webcam,2026-05-19 22:27:29
TM8705106,webcam,2026-05-19 22:27:29
TH8705106,webcam,2026-05-19 22:27:29
TN8705106,webcam,2026-05-19 22:27:30
TN875106,webcam,2026-05-19 22:27:30
TH875106,webcam,2026-05-19 22:27:30
TH875106,webcam,2026-05-19 22:27:30
TN875106,webcam,2026-05-19 22:27:30
TM8705106,webcam,2026-05-19 22:27:31
TN8705106,webcam,2026-05-19 22:27:31
TN8705106,webcam,2026-05-19 22:27:31
TH875106,webcam,2026-05-19 22:27:31
TN8705106,webcam,2026-05-19 22:27:31
TN8705106,webcam,2026-05-19 22:27:32
TM8705106,webcam,2026-05-19 22:27:32
TH8705106,webcam,2026-05-19 22:27:32
TM8705406,webcam,2026-05-19 22:27:32
TH8705106,webcam,2026-05-19 22:27:32
TH82051NE,webcam,2026-05-19 22:27:33
T8705406,webcam,2026-05-19 22:27:33
TN8705106,webcam,2026-05-19 22:27:33
TM8705106,webcam,2026-05-19 22:27:33
